station_id	name	lat	lon	capacity	num_bikes_available	num_docks_available
7142	Bridgeman/Bathurst	43.674444	-79.414722	15	4	11
7143	Kendal/Bernard	43.671513	-79.408317	15	7	7
7144	Palmerston/Vermont	43.671389	-79.416389	15	6	9
7146	"Benson/Christie ""Wychwood Barns"""	43.68	-79.425	19	9	10
7147	King St / Mowat	43.6394444	-79.42527778	15	11	3
7148	King / Jefferson	43.639444	-79.423611	15	6	9
7149	Yarmouth/Christie	43.67	-79.42083333	11	5	6
7150	Dufferin Grove Park	43.6555556	-79.43361111	19	16	3
7151	Essex/Christie	43.6686111	-79.42027778	19	4	15
7152	Bloor/Ossington	43.6619444	-79.42555556	11	9	2
7153	Bloor/Christie	43.6638889	-79.41888889	19	10	7
7154	Bathurst Subway Station	43.6666667	-79.41166667	23	7	16
7155	Bathurst/Lennox	43.6638889	-79.41055556	19	11	8
7156	Salem/Bloor	43.6608333	-79.43166667	15	5	10
7157	Bloor/Dufferin	43.66083333	-79.43583333	15	8	6
7158	King/Strachan	43.6422222	-79.41111111	15	3	10
7160	King/Tecumseth	43.64333333	-79.40555556	15	10	4
7161	Beverly/College	43.6575	-79.39527778	23	1	22
7162	Hayter/Laplante	43.65916667	-79.38555556	15	1	14
7163	Yonge/Wood	43.6622222	-79.3825	15	3	12
7164	Victoria/Dundas	43.657189	-79.379953	19	0	18
7167	Moss Park	43.6544444	-79.37111111	15	4	11
7168	Queens Quay/Yonge	43.641646	-79.375308	15	5	10
7169	Front/Bay	43.646162	-79.378912	11	2	9
7170	Spadina / Willcocks	43.6616667	-79.40138889	15	2	13
7171	Ontario Place Blvd/Remembrance	43.632999	-79.408671	27	9	16
7172	Strachan and Princes' Blvd	43.635	-79.40888889	19	3	16
7173	Cariboo St/ Rail Path	43.66666667	-79.45833333	19	7	12
7174	Bloor/Dundas St W	43.6563889	-79.45166667	15	12	3
7175	HTO Park	43.6386	-79.3875	27	18	9
7176	Bathurst/Fort York	43.639179	-79.399595	19	15	4
7177	Liberty/Pirandello	43.63861111	-79.41472222	19	17	0
7178	Dundas St W/Edna Ave	43.6575	-79.4525	15	4	11
7179	Bloor GO/UP Station	43.6575	-79.45027778	19	8	11
7180	Lansdowne/Wade	43.65916667	-79.44277778	23	15	8
7181	Lansdowne/Whytock	43.65388889	-79.44138889	15	4	11
7182	Sterling/Dundas	43.65083333	-79.44305556	19	5	12
7183	Margueretta/College	43.65138889	-79.43777778	15	2	13
7184	Ossington Ave/College St.	43.6544915	-79.422634	15	7	7
7188	Atlantic/Liberty	43.63666667	-79.41972222	23	4	18
7189	Augusta/Denison Sq	43.65416667	-79.40194444	15	1	14
7190	St. George/Hoskin	43.664059	-79.398334	15	1	14
7191	Central Tech	43.661975	-79.407896	11	9	2
7192	Harbord/ Clinton	43.660167	-79.416277	15	14	1
7193	Queen/Gladstone	43.64305556	-79.4275	15	12	2
7194	Mortimer/Coxwell	43.690564	-79.326319	11	5	6
7195	Ulster/Bathurst	43.66	-79.40888889	11	7	4
7196	Roxton/Harbord	43.65888889	-79.42333333	11	2	9
7197	Queen/Dovercourt	43.64361111	-79.4225	11	10	1
7198	Queen/Cowan	43.6409	-79.432837	19	12	7
7199	College/Markham	43.65638889	-79.40916667	15	5	10
7202	City Hall	43.651667	-79.384167	23	2	21
7203	Harrison/Dovercourt	43.650978	-79.424557	11	14	9
7204	College/Crawford	43.655	-79.418889	19	9	10
7205	Rusholme Park/College	43.65277778	-79.42972222	15	7	8
7206	Claremont/Dundas	43.651667	-79.411667	11	2	9
7207	Dundas/Crawford	43.649722	-79.416944	19	10	6
7208	College/Clinton	43.656296	-79.414663	11	4	7
7209	Ossington/Harrison	43.65111111	-79.42138889	19	13	6
7210	Mary McCormick Rec Centre	43.6475	-79.43305556	15	10	4
7211	Fort York/Garrison	43.6375	-79.40611111	15	15	0
7216	Wellington Dog Park	43.641281	-79.409339	23	14	9
